,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
0,bdr,NVDC34.SA,NVIDIA CORP DRN,25.7,2021-03-10,2021-11-25,260 days,102.8,2022-01-27,4 days,-0.24,1.54,-0.23,1.77,-0.3,256,103.04,-5.95,40.25,True,False
1,bdr,SSFO34.SA,SALESFORCE  DRN,53.77,2021-05-19,2021-11-04,169 days,43.46,2022-01-26,2 days,0.92,1.18,2.11,0.93,28.48,167,42.54,45.84,25.47,True,False
2,bdr,MSFT34.SA,MICROSOFT   DRN,69.09,2021-06-02,2021-12-29,210 days,45.08,2022-01-25,6 days,1.84,2.86,4.09,1.23,17.91,204,43.24,30.7,21.2,True,False
3,bdr,CMCS34.SA,COMCAST     DRN,53.52,2021-12-09,2022-01-17,39 days,7.52,2022-01-27,4 days,2.08,10.26,27.66,17.4,1.69,35,5.44,51.97,15.54,True,False
4,bdr,BERK34.SA,BERKSHIRE   DRN,83.82,2021-06-30,2022-01-10,194 days,29.65,2022-01-27,4 days,-0.03,2.06,-0.12,2.18,-0.1,190,29.69,-0.87,15.63,True,False
5,bdr,B1NT34.SA,BIONTECH SE DRN,109.59,2021-10-06,2021-11-29,54 days,45.0,2022-01-21,10 days,3.66,18.52,8.14,10.38,0.87,44,41.34,36.62,93.95,True,False
6,bdr,TSLA34.SA,TESLA INC   DRN,144.4,2021-06-04,2021-11-04,153 days,84.43,2022-01-27,4 days,-9.05,2.61,-10.72,13.34,-0.87,149,93.49,-226.35,62.74,True,False
7,bdr,PFIZ34.SA,PFIZER      DRN,73.05,2021-10-15,2021-12-20,66 days,46.16,2022-01-27,4 days,-0.1,6.06,-0.22,6.28,-0.04,62,46.26,-2.55,74.61,True,False
8,bdr,UNHH34.SA,UNITEDHEALTHDRN,70.91,2021-10-04,2021-12-29,86 days,32.48,2022-01-28,0 days,-0.37,0.0,-1.12,1.12,-9.02,86,32.85,-inf,38.19,True,False
9,bdr,CHCM34.SA,CHARTER COMMDRN,52.55,2021-12-09,2022-01-03,25 days,6.21,2022-01-26,2 days,2.77,8.0,44.53,36.53,1.25,23,3.44,138.27,14.98,True,False
10,bdr,EXXO34.SA,EXXON MOBIL DRN,100.57,2020-11-06,2022-01-25,445 days,91.3,2021-09-01,149 days,38.19,33.48,41.83,8.35,5.69,296,53.1,25.63,17.94,False,True
