,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
0,bdr,NVDC34.SA,NVIDIA CORP DRN,27.01,2021-03-10,2021-11-25,260 days,102.8,2022-01-27,4 days,4.9,1.54,4.77,3.23,2.14,256,97.9,122.5,38.24,True,False,27.84
1,bdr,SSFO34.SA,SALESFORCE  DRN,55.5,2021-05-19,2021-11-04,169 days,43.46,2022-01-26,5 days,4.15,2.96,9.55,6.59,1.71,164,39.31,82.99,23.97,True,False,36.99
2,bdr,MSFT34.SA,MICROSOFT   DRN,68.65,2021-06-02,2021-12-29,210 days,45.07,2022-01-25,6 days,1.2,2.86,2.67,0.19,3.29,204,43.86,20.04,21.5,True,False,34.55
3,bdr,CMCS34.SA,COMCAST     DRN,52.94,2021-12-09,2022-01-17,39 days,7.52,2022-01-27,4 days,1.02,10.26,13.58,3.32,5.84,35,6.5,25.52,18.56,True,False,33.52
4,bdr,BERK34.SA,BERKSHIRE   DRN,83.1,2021-06-30,2022-01-10,194 days,29.65,2022-01-27,4 days,-0.89,2.06,-3.0,5.06,-0.74,190,30.54,-22.21,16.07,True,False,26.21
5,bdr,B1NT34.SA,BIONTECH SE DRN,113.29,2021-10-06,2021-11-29,54 days,45.0,2022-01-21,10 days,7.09,18.52,15.75,2.77,8.91,44,37.91,70.88,86.17,True,False,23.94
6,bdr,TSLA34.SA,TESLA INC   DRN,153.47,2021-06-04,2021-11-04,153 days,84.43,2022-01-27,4 days,-2.69,2.61,-3.18,5.8,-0.66,149,87.12,-67.21,58.47,True,False,32.81
7,bdr,PFIZ34.SA,PFIZER      DRN,69.86,2021-10-15,2021-12-20,66 days,46.16,2022-01-31,0 days,-3.81,0.0,-8.26,8.26,-1.14,66,49.97,-inf,75.71,True,False,24.27
8,bdr,UNHH34.SA,UNITEDHEALTHDRN,71.5,2021-10-04,2021-12-29,86 days,32.48,2022-01-28,3 days,0.46,3.49,1.43,2.06,1.34,83,32.02,15.45,38.57,True,False,29.06
9,bdr,CHCM34.SA,CHARTER COMMDRN,52.31,2021-12-09,2022-01-03,25 days,6.21,2022-01-26,5 days,2.34,20.0,37.7,17.7,2.26,20,3.87,46.82,19.34,True,False,32.28
10,bdr,EXXO34.SA,EXXON MOBIL DRN,100.65,2020-11-06,2022-01-25,445 days,91.3,2021-09-01,152 days,38.27,34.16,41.92,7.76,6.2,293,53.02,25.18,18.1,False,True,52.52
11,bdr,U1BE34.SA,UBER TECH INDRN,49.36,2021-09-15,2021-10-08,23 days,26.01,2022-01-27,4 days,4.74,17.39,18.23,0.83,110.22,19,21.27,118.52,111.95,True,False,20.43
12,bdr,GOGL34.SA,ALPHABET    DRN A,95.96,2021-05-18,2021-12-23,219 days,34.72,2022-01-25,6 days,0.31,2.74,0.88,1.86,1.03,213,34.42,5.11,16.16,True,False,30.29
13,bdr,FBOK34.SA,META PLAT   DRN,58.75,2021-01-14,2021-09-08,237 days,42.81,2022-01-27,4 days,3.07,1.69,7.16,5.48,1.6,233,39.74,76.67,17.06,True,False,25.34
14,bdr,N1DA34.SA,NASDAQ INC  DRN,473.76,2020-12-15,2021-10-29,318 days,68.25,2022-01-26,5 days,-0.85,1.57,-1.25,2.82,-0.69,313,69.11,-17.05,22.08,True,False,19.27
15,bdr,AAPL34.SA,APPLE       DRN,92.16,2021-11-12,2022-01-03,52 days,26.76,2022-01-27,4 days,6.68,7.69,24.95,17.26,1.53,48,20.08,166.88,41.83,True,False,35.11
16,bdr,COCA34.SA,COCA COLA   DRN,53.51,2021-06-29,2022-01-05,190 days,28.6,2021-10-01,122 days,12.73,64.21,44.52,19.69,2.38,68,15.87,10.44,23.33,True,False,36.48
17,bdr,ULEV34.SA,UNILEVER    DRN,273.81,2021-09-02,2022-01-05,125 days,7.52,2022-01-21,10 days,2.52,8.0,33.45,25.45,1.37,115,5.01,25.16,4.35,True,False,38.28
18,bdr,DISB34.SA,WALT DISNEY DRN,50.53,2021-08-10,2021-10-07,58 days,6.94,2022-01-26,5 days,2.71,8.62,39.1,30.48,1.33,53,4.23,54.28,7.97,True,False,24.34
19,bdr,BIDU34.SA,BAIDU INC   DRN,843.72,2021-08-19,2021-10-21,63 days,29.89,2021-12-03,59 days,2.88,93.65,9.63,84.02,0.12,4,27.01,4.88,675.31,False,True,44.83
20,bdr,AMZO34.SA,AMAZON      DRN,100.9,2021-08-17,2021-11-19,94 days,18.3,2022-01-26,5 days,4.3,5.32,23.51,18.2,1.37,89,13.99,86.04,15.72,True,False,23.34
21,bdr,NFLX34.SA,NETFLIX     DRN,45.39,2021-06-10,2021-10-29,141 days,47.56,2022-01-26,5 days,14.11,3.55,29.68,26.13,1.18,136,33.44,282.29,24.59,True,False,28.5
22,bdr,BKNG34.SA,BOOKING     DRN,74.65,2021-12-14,2022-01-04,21 days,14.29,2022-01-25,6 days,1.32,28.57,9.23,19.34,0.5,15,12.98,21.98,86.5,True,False,37.68
23,bdr,M1RN34.SA,MODERNA INC DRN,88.65,2021-11-19,2021-11-29,10 days,42.04,2022-01-27,4 days,4.86,40.0,11.55,28.45,0.42,6,37.19,121.42,619.77,True,False,18.78
24,bdr,MELI34.SA,MERCADOLIBREDRN,49.94,2021-12-03,2021-12-29,26 days,18.0,2022-01-26,5 days,9.69,19.23,53.83,34.6,1.6,21,8.31,193.78,39.57,True,False,39.45
25,bdr,TEXA34.SA,TEXAS INC   DRN,63.59,2021-11-16,2021-12-07,21 days,7.09,2022-01-25,6 days,-1.54,28.57,-21.77,50.34,-0.44,15,8.63,-25.72,57.56,True,False,34.9
26,bdr,JNJB34.SA,JOHNSON     DRN,60.26,2021-09-22,2022-01-05,105 days,14.24,2022-01-31,0 days,-1.78,0.0,-12.48,12.48,-1.09,105,16.02,-inf,15.25,True,False,33.28
27,bdr,FCXO34.SA,FREEPORT    DRN,196.84,2021-06-29,2022-01-13,198 days,37.48,2022-01-28,3 days,-2.01,1.52,-5.36,6.87,-0.91,195,39.49,-66.93,20.25,True,False,21.63
28,bdr,A1MD34.SA,ADVANCED MICDRN,607.05,2021-09-29,2021-11-29,61 days,52.66,2022-01-27,4 days,2.1,6.56,3.98,2.58,2.52,57,50.57,52.4,88.71,True,False,24.49
29,bdr,COTY34.SA,COTY INC    DRN,22.29,2021-08-17,2022-01-04,140 days,40.89,2022-01-28,3 days,2.56,2.14,6.27,4.12,2.01,137,38.33,85.41,27.97,True,False,18.48
30,bdr,FDXB34.SA,FEDEX CORP  DRN,1293.45,2021-10-04,2022-01-05,93 days,23.73,2022-01-31,0 days,-1.51,0.0,-6.36,6.36,-1.19,93,25.24,-inf,27.14,True,False,15.02
31,bdr,UPSS34.SA,UPS         DRN,65.55,2021-12-01,2022-01-04,34 days,9.5,2022-01-28,3 days,-0.29,8.82,-3.04,11.87,-0.28,31,9.79,-9.63,31.58,True,False,6.54
32,bdr,COWC34.SA,COSTCO      DRN,67.1,2021-06-11,2021-12-29,201 days,53.96,2022-01-25,6 days,0.37,2.99,0.69,2.29,0.53,195,53.58,6.22,27.48,True,False,37.06
33,bdr,UPAC34.SA,UNIONPACIFICDRN,323.74,2021-10-01,2022-01-05,96 days,30.3,2022-01-31,0 days,-2.48,0.0,-8.19,8.19,-1.14,96,32.79,-inf,34.15,False,False,5.1
34,bdr,CSXC34.SA,CSX CORP    DRN,93.73,2021-10-13,2022-01-07,86 days,16.66,2022-01-21,10 days,-2.97,11.63,-17.83,29.46,-0.63,76,19.63,-29.71,25.84,True,False,0.0
35,bdr,N1SC34.SA,NORFOLK SOUTDRN,359.64,2021-06-22,2021-12-29,190 days,21.93,2022-01-31,0 days,-3.84,0.0,-17.53,17.53,-1.06,190,25.78,-inf,13.57,True,False,11.76
36,bdr,CSCO34.SA,CISCO       DRN,59.21,2020-11-06,2021-12-29,418 days,64.08,2022-01-27,4 days,-0.8,0.96,-1.25,2.21,-1.04,414,64.89,-20.07,15.67,True,False,12.01
37,bdr,MCDC34.SA,MCDONALDS   DRN,68.73,2020-12-11,2021-12-29,383 days,40.81,2022-01-27,4 days,1.27,1.04,3.11,2.07,2.91,379,39.54,31.76,10.43,True,False,27.76
38,bdr,WALM34.SA,WAL MART    DRN,46.27,2021-10-04,2021-11-01,28 days,14.31,2022-01-27,4 days,0.59,14.29,4.14,10.15,0.45,24,13.72,14.8,57.15,True,False,23.84
39,bdr,S2HO34.SA,SHOPIFY INC DRN,41.7,2021-10-04,2021-11-19,46 days,28.98,2022-01-27,4 days,2.77,8.7,9.56,0.86,70.57,42,26.2,69.25,62.39,True,False,31.75
40,bdr,EBAY34.SA,EBAY        DRN,159.19,2021-08-17,2021-10-22,66 days,14.19,2022-01-27,4 days,1.64,6.06,11.55,5.49,2.57,62,12.55,40.97,20.24,True,False,16.31
41,bdr,AVGO34.SA,BROADCOM INCDRN,87.71,2021-06-24,2021-12-23,182 days,87.37,2022-01-21,10 days,2.03,5.49,2.33,3.17,1.08,172,85.33,20.35,49.61,True,False,28.36
42,bdr,VERZ34.SA,VERIZON     DRN,46.97,2021-09-22,2022-01-05,105 days,8.77,2022-01-27,4 days,1.89,3.81,21.6,17.79,1.29,101,6.88,47.37,6.81,True,False,30.11
43,bdr,P2IN34.SA,PINTERESTINCDRN,23.55,2021-10-11,2021-10-20,9 days,22.25,2022-01-28,3 days,-3.21,33.33,-14.41,47.74,-0.31,6,25.46,-106.86,424.27,True,False,9.65
44,bdr,ARMT34.SA,ARCELOR     DRN,79.44,2021-09-21,2022-01-13,114 days,30.55,2022-01-28,3 days,1.79,2.63,5.87,3.24,2.62,111,28.75,59.82,25.91,True,False,22.41
45,bdr,VRTX34.SA,VERTEX PHARMDRN,320.17,2021-06-22,2022-01-17,209 days,32.18,2021-10-04,119 days,28.74,56.94,89.31,32.37,2.85,90,3.44,24.15,3.82,False,True,56.47
46,bdr,FDMO34.SA,FORD MOTORS DRN,107.4,2021-05-12,2022-01-13,246 days,91.01,2022-01-28,3 days,2.37,1.22,2.6,1.38,6.78,243,88.64,78.99,36.48,True,False,19.08
47,bdr,CATP34.SA,CATERPILLAR DRN,67.1,2021-09-21,2022-01-17,118 days,27.27,2022-01-31,0 days,-0.27,0.0,-0.98,0.98,-51.56,118,27.54,-inf,23.34,False,False,25.87
48,bdr,ABUD34.SA,AB INBEV    DRN,55.56,2021-09-15,2022-01-17,124 days,24.0,2021-11-30,62 days,3.95,50.0,16.44,33.56,0.5,62,20.06,6.36,32.35,False,False,30.92
49,bdr,WFCO34.SA,WELLS FARGO DRN,71.37,2021-06-18,2022-01-17,213 days,44.93,2022-01-31,0 days,-1.71,0.0,-3.8,3.8,-1.36,213,46.63,-inf,21.89,True,False,26.63
50,cambio,USDBRL=X,USD/BRL,5.29,2021-09-10,2021-12-22,103 days,7.94,2022-02-01,0 days,-1.27,0.0,-15.97,15.97,-1.07,103,9.21,-inf,8.94,True,False,23.86
51,cambio,EURBRL=X,EUR/BRL,5.97,2021-11-16,2021-12-22,36 days,3.74,2022-02-01,0 days,-0.1,0.0,-2.55,2.55,-1.65,36,3.84,-inf,10.66,True,False,17.88
52,cambio,EURUSD=X,EUR/USD,1.13,2021-08-20,2021-09-07,18 days,1.46,2022-01-28,4 days,0.22,22.22,15.26,6.96,2.56,14,1.24,5.57,8.84,True,False,41.82
53,cripto,BTC-USD,Bitcoin USD,38297.91,2021-09-21,2021-11-08,48 days,48.66,2022-01-26,6 days,3.61,12.5,7.42,5.08,1.82,42,45.05,60.14,107.26,True,False,32.47
54,cripto,LTC-USD,Litecoin USD,109.74,2021-09-28,2021-11-14,47 days,69.78,2022-01-27,5 days,2.32,10.64,3.32,7.32,0.53,42,67.47,46.33,160.64,True,False,17.25
55,cripto,ETH-USD,Ethereum USD,2740.18,2021-09-21,2021-11-08,48 days,52.66,2022-01-27,5 days,10.69,10.42,20.31,9.89,2.28,43,41.97,213.87,97.6,True,False,34.57
56,cripto,CET-USD,CoinExToken USD,0.05,2021-09-30,2021-11-11,42 days,83.65,2022-01-27,5 days,2.6,11.9,3.1,8.8,0.4,37,81.05,51.92,219.05,True,False,26.04
57,cripto,SOL-USD,Solana USD,99.74,2021-12-14,2021-12-27,13 days,24.73,2022-01-27,4 days,8.29,30.77,33.52,2.75,19.13,9,16.44,207.27,182.69,True,False,26.77
58,cripto,EGLD-USD,Elrond USD,147.36,2021-07-22,2021-11-22,123 days,210.72,2022-01-22,10 days,8.0,8.13,3.8,4.33,1.14,113,202.72,79.98,179.4,True,False,33.92
59,cripto,FTM-USD,Fantom USD,2.1,2021-07-20,2022-01-16,180 days,371.29,2022-01-30,2 days,0.14,1.11,0.04,1.07,0.53,178,371.15,7.18,208.51,True,False,28.3
60,cripto,DOT-USD,Polkadot USD,18.08,2021-07-20,2021-11-04,107 days,178.63,2022-01-24,2 days,-3.96,1.87,-2.22,4.09,-0.72,105,182.59,-197.93,173.89,True,False,17.25
61,cripto,ADA-USD,Cardano USD,1.05,2021-12-10,2022-01-17,38 days,27.1,2022-02-01,0 days,-0.0,0.0,-0.01,0.01,-0.01,38,27.1,-inf,71.32,True,False,18.56
62,cripto,MATIC-USD,MaticNetwork USD,1.65,2021-11-18,2021-12-26,38 days,67.59,2022-01-25,7 days,9.48,18.42,14.02,4.4,4.12,31,58.11,135.36,187.45,True,False,28.57
63,cripto,LUNA1-USD,Terra USD,52.01,2021-10-19,2021-12-26,68 days,118.15,2022-01-30,2 days,3.59,2.94,3.04,0.09,3.35,66,114.56,179.33,173.58,True,False,24.89
64,cripto,AR-USD,Arweave USD,38.64,2021-12-13,2022-01-01,19 days,51.37,2022-01-26,6 days,18.16,31.58,35.36,3.78,12.71,13,33.2,302.72,255.4,True,False,40.63
65,cripto,LINK-USD,Chainlink USD,17.26,2021-09-21,2021-11-11,51 days,45.99,2022-01-27,5 days,12.94,9.8,28.13,18.32,1.62,46,33.06,258.71,71.86,True,False,26.92
66,cripto,CRO-USD,CryptocomCoin USD,0.43,2021-09-30,2021-11-23,54 days,200.97,2022-01-22,10 days,17.91,18.52,8.91,9.6,1.04,44,183.06,179.14,416.04,False,True,46.53
